polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,1293334,1293334:1,"
     My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.
    ",RESTAURANT#GENERAL,Jekyll and Hyde Pub,"('55', '74')","['My', 'husband', 'I', 'thougt', 'would', 'great', 'go', 'Jekyll', 'Hyde', 'Pub', 'anniversary', 'surprise', 'fantastic']"
positive,1293334,1293334:2,"
     The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
    ",DRINKS#STYLE_OPTIONS,beers,"('28', '33')","['The', '100', 'different', 'beers', 'offer', 'thier', 'guest', 'made', 'husband', 'happy', 'food', 'delicious', 'I', 'must', 'recommend', 'dish', 'must', 'pumkin', 'tortelini']"
positive,1293334,1293334:2,"
     The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
    ",FOOD#QUALITY,food,"('98', '102')","['The', '100', 'different', 'beers', 'offer', 'thier', 'guest', 'made', 'husband', 'happy', 'food', 'delicious', 'I', 'must', 'recommend', 'dish', 'must', 'pumkin', 'tortelini']"
positive,1293334,1293334:2,"
     The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
    ",FOOD#QUALITY,pumkin tortelini,"('160', '176')","['The', '100', 'different', 'beers', 'offer', 'thier', 'guest', 'made', 'husband', 'happy', 'food', 'delicious', 'I', 'must', 'recommend', 'dish', 'must', 'pumkin', 'tortelini']"
positive,1293334,1293334:3,"
     The entertainment was great they have shows that go on through out the dinner.
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['The', 'entertainment', 'great', 'shows', 'go', 'dinner']"
positive,1293334,1293334:4,"
     Please take my advice, go and try this place.
    ",RESTAURANT#GENERAL,place,"('39', '44')","['Please', 'take', 'advice', 'go', 'try', 'place']"
positive,1293334,1293334:6,"
     You will not be disapointed at all.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['You', 'disapointed']"
positive,1297844,1297844:1,"
     We were not dissappointed in the least bit by this little gem.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['We', 'dissappointed', 'least', 'bit', 'little', 'gem']"
positive,1297844,1297844:2,"
     The bagel was huge.
    ",FOOD#STYLE_OPTIONS,bagel,"('4', '9')","['The', 'bagel', 'huge']"
positive,1297844,1297844:3,"
     They were served warm and had a soft fluffy interior.
    ",FOOD#QUALITY,NULL,"('0', '0')","['They', 'served', 'warm', 'soft', 'fluffy', 'interior']"
negative,1297844,1297844:4,"
     The workers there also absolutely load the bagel with cream cheese (gets a little messy).
    ",FOOD#STYLE_OPTIONS,bagel,"('43', '48')","['The', 'workers', 'also', 'absolutely', 'load', 'bagel', 'cream', 'cheese', 'gets', 'little', 'messy']"
positive,1297844,1297844:5,"
     I loved it and would HIGHLY RECOMMEND.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'loved', 'would', 'HIGHLY', 'RECOMMEND']"
positive,1300636,1300636:0,"
     This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
    ",FOOD#QUALITY,food,"('74', '78')","['This', 'frist', 'time', 'Cafe', 'St', 'I', 'must', 'say', 'delicous', 'food', 'service']"
positive,1300636,1300636:0,"
     This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
    ",SERVICE#GENERAL,service,"('87', '94')","['This', 'frist', 'time', 'Cafe', 'St', 'I', 'must', 'say', 'delicous', 'food', 'service']"
positive,1300636,1300636:2,"
     I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.
    ",FOOD#QUALITY,lobster roll,"('31', '43')","['I', 'highly', 'recommend', 'lobster', 'roll', 'much', 'mayo', 'tell', 'fresh', 'lobster']"
positive,1300636,1300636:2,"
     I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.
    ",FOOD#QUALITY,lobster,"('92', '99')","['I', 'highly', 'recommend', 'lobster', 'roll', 'much', 'mayo', 'tell', 'fresh', 'lobster']"
positive,1300636,1300636:3,"
     Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
    ",FOOD#QUALITY,pizza,"('21', '26')","['Other', 'guests', 'enjoyed', 'pizza', 'santa', 'fe', 'chopped', 'salad', 'fish', 'chips']"
positive,1300636,1300636:3,"
     Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
    ",FOOD#QUALITY,santa fe chopped salad,"('28', '50')","['Other', 'guests', 'enjoyed', 'pizza', 'santa', 'fe', 'chopped', 'salad', 'fish', 'chips']"
positive,1300636,1300636:3,"
     Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
    ",FOOD#QUALITY,fish and chips,"('55', '69')","['Other', 'guests', 'enjoyed', 'pizza', 'santa', 'fe', 'chopped', 'salad', 'fish', 'chips']"
positive,1300636,1300636:4,"
     I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
    ",FOOD#QUALITY,food,"('45', '49')","['I', 'highly', 'recommend', 'Cafe', 'St', 'food', 'ambience', 'wonderful', 'service']"
positive,1300636,1300636:4,"
     I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
    ",AMBIENCE#GENERAL,ambience,"('55', '63')","['I', 'highly', 'recommend', 'Cafe', 'St', 'food', 'ambience', 'wonderful', 'service']"
positive,1300636,1300636:4,"
     I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
    ",SERVICE#GENERAL,service,"('78', '85')","['I', 'highly', 'recommend', 'Cafe', 'St', 'food', 'ambience', 'wonderful', 'service']"
positive,1303888,1303888:0,"
     All the staff is absolutely professional!!
    ",SERVICE#GENERAL,staff,"('8', '13')","['All', 'staff', 'absolutely', 'professional']"
positive,1303888,1303888:2,"
     But they do.
    ",SERVICE#GENERAL,NULL,"('0', '0')",['But']
positive,1303888,1303888:3,"
     (that is A MUST, but not every restaurant can do...)
    ",SERVICE#GENERAL,NULL,"('0', '0')","['A', 'MUST', 'every', 'restaurant']"
positive,1303888,1303888:5,"
     There's nice and quiet, small but enough for 6 (or more).
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['nice', 'quiet', 'small', 'enough', '6']"
negative,1303984,1303984:0,"
     This restaurant was way overhyped.
    ",RESTAURANT#GENERAL,restaurant,"('5', '15')","['This', 'restaurant', 'way', 'overhyped']"
negative,1303984,1303984:1,"
     My chow fun and chow see was really bland and oily.
    ",FOOD#QUALITY,chow fun and chow see,"('3', '24')","['My', 'chow', 'fun', 'chow', 'see', 'really', 'bland', 'oily']"
negative,1303984,1303984:2,"
     Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.
    ",FOOD#QUALITY,NULL,"('0', '0')","['mind', 'oily', 'part', 'cause', 'cooked', 'way', 'way', 'bland']"
neutral,1303984,1303984:3,"
     The scallion pancakes and fried dumplings were nothing out of the ordinary.
    ",FOOD#QUALITY,scallion pancakes,"('4', '21')","['The', 'scallion', 'pancakes', 'fried', 'dumplings', 'nothing', 'ordinary']"
neutral,1303984,1303984:3,"
     The scallion pancakes and fried dumplings were nothing out of the ordinary.
    ",FOOD#QUALITY,fried dumplings,"('26', '41')","['The', 'scallion', 'pancakes', 'fried', 'dumplings', 'nothing', 'ordinary']"
positive,1308557,1308557:0,"
     The service was the only thing good about this restaurant.
    ",SERVICE#GENERAL,service,"('4', '11')","['The', 'service', 'thing', 'good', 'restaurant']"
negative,1308557,1308557:0,"
     The service was the only thing good about this restaurant.
    ",RESTAURANT#GENERAL,restaurant,"('47', '57')","['The', 'service', 'thing', 'good', 'restaurant']"
negative,1308557,1308557:1,"
     It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['boring', 'inside', 'sushi', 'pretty', 'average', 'tuna', 'soggy', 'rolls', 'flavor']"
negative,1308557,1308557:1,"
     It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
    ",FOOD#QUALITY,sushi,"('35', '40')","['boring', 'inside', 'sushi', 'pretty', 'average', 'tuna', 'soggy', 'rolls', 'flavor']"
negative,1308557,1308557:1,"
     It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
    ",FOOD#QUALITY,tuna,"('73', '77')","['boring', 'inside', 'sushi', 'pretty', 'average', 'tuna', 'soggy', 'rolls', 'flavor']"
negative,1308557,1308557:1,"
     It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
    ",FOOD#QUALITY,rolls,"('102', '107')","['boring', 'inside', 'sushi', 'pretty', 'average', 'tuna', 'soggy', 'rolls', 'flavor']"
negative,1308557,1308557:2,"
     I definitely wouldn't go back.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'definitely', 'go', 'back']"
positive,1310217,1310217:1,"
     Their pad penang is delicious and everything else is fantastic.
    ",FOOD#QUALITY,pad penang,"('6', '16')","['Their', 'pad', 'penang', 'delicious', 'everything', 'else', 'fantastic']"
positive,1310217,1310217:1,"
     Their pad penang is delicious and everything else is fantastic.
    ",FOOD#QUALITY,NULL,"('0', '0')","['Their', 'pad', 'penang', 'delicious', 'everything', 'else', 'fantastic']"
positive,1310217,1310217:2,"
     The price is reasonable although the service is poor.
    ",RESTAURANT#PRICES,NULL,"('0', '0')","['The', 'price', 'reasonable', 'although', 'service', 'poor']"
negative,1310217,1310217:2,"
     The price is reasonable although the service is poor.
    ",SERVICE#GENERAL,service,"('37', '44')","['The', 'price', 'reasonable', 'although', 'service', 'poor']"
positive,1318537,1318537:0,"
     fresh restaurant was amazing........ food was delicious and of course fresh.
    ",RESTAURANT#GENERAL,fresh restaurant,"('0', '16')","['fresh', 'restaurant', 'amazing', 'food', 'delicious', 'course', 'fresh']"
positive,1318537,1318537:0,"
     fresh restaurant was amazing........ food was delicious and of course fresh.
    ",FOOD#QUALITY,food,"('37', '41')","['fresh', 'restaurant', 'amazing', 'food', 'delicious', 'course', 'fresh']"
positive,1318537,1318537:1,"
     great for a romantic evening, or a fun evening with friends...
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['great', 'romantic', 'evening', 'fun', 'evening', 'friends']"
positive,1318537,1318537:1,"
     great for a romantic evening, or a fun evening with friends...
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['great', 'romantic', 'evening', 'fun', 'evening', 'friends']"
positive,1318537,1318537:2,"
     I will be going back very soon.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'going', 'back', 'soon']"
positive,1318537,1318537:3,"
     keep up the good work.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['keep', 'good', 'work']"
positive,1318537,1318537:4,"
     Hats off to the chef.
    ",FOOD#QUALITY,chef,"('16', '20')","['Hats', 'chef']"
positive,1328078,1328078:2,"
     It was wonderful.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['It', 'wonderful']"
positive,1328078,1328078:3,"
     the salads are delicious, both refreshing and very spicy.
    ",FOOD#QUALITY,salads,"('4', '10')","['salads', 'delicious', 'refreshing', 'spicy']"
positive,1328078,1328078:4,"
     We had Pam's special fried fish and it was amazing.
    ",FOOD#QUALITY,Pam's special fried fish,"('7', '31')","['We', 'special', 'fried', 'fish', 'amazing']"
neutral,1328078,1328078:5,"
     too large for just two people but nothing was left.
    ",FOOD#STYLE_OPTIONS,NULL,"('0', '0')","['large', 'two', 'people', 'nothing', 'left']"
positive,1328078,1328078:5,"
     too large for just two people but nothing was left.
    ",FOOD#QUALITY,NULL,"('0', '0')","['large', 'two', 'people', 'nothing', 'left']"
positive,1335154,1335154:1,"
     Great vibe, lots of people.
    ",AMBIENCE#GENERAL,vibe,"('6', '10')","['Great', 'vibe', 'lots', 'people']"
positive,1335154,1335154:3,"
     My husbands was perfect, my was well done and dry.
    ",FOOD#QUALITY,NULL,"('0', '0')","['My', 'husbands', 'perfect', 'well', 'done', 'dry']"
negative,1335154,1335154:3,"
     My husbands was perfect, my was well done and dry.
    ",FOOD#QUALITY,NULL,"('0', '0')","['My', 'husbands', 'perfect', 'well', 'done', 'dry']"
positive,1335154,1335154:4,"
     I didn't complain, I liked the atmosphere so much.
    ",AMBIENCE#GENERAL,atmosphere,"('31', '41')","['I', 'complain', 'I', 'liked', 'atmosphere', 'much']"
positive,1335656,1335656:1,"
     On a hot day it was fabulous to stop in and enjoy lunch.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['On', 'hot', 'day', 'fabulous', 'stop', 'enjoy', 'lunch']"
positive,1335656,1335656:2,"
     Ambience is so cute and quaint, good for business although we were there on vacation.
    ",AMBIENCE#GENERAL,Ambience,"('0', '8')","['Ambience', 'cute', 'quaint', 'good', 'business', 'although', 'vacation']"
positive,1335656,1335656:2,"
     Ambience is so cute and quaint, good for business although we were there on vacation.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Ambience', 'cute', 'quaint', 'good', 'business', 'although', 'vacation']"
positive,1335656,1335656:3,"
     Salads were fantastic.
    ",FOOD#QUALITY,Salads,"('0', '6')","['Salads', 'fantastic']"
positive,1335656,1335656:4,"
     Although we were looking for regular lettuce and some walnuts the salads we got were great.
    ",FOOD#QUALITY,salads,"('66', '72')","['Although', 'looking', 'regular', 'lettuce', 'walnuts', 'salads', 'got', 'great']"
positive,1335656,1335656:5,"
     Ingredients are organic which is a real plus for me.
    ",FOOD#QUALITY,Ingredients,"('0', '11')","['Ingredients', 'organic', 'real', 'plus']"
positive,1335656,1335656:6,"
     We will be back.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['We', 'back']"
positive,1338124,1338124:0,"
     This is some really good, inexpensive sushi.
    ",FOOD#QUALITY,sushi,"('38', '43')","['This', 'really', 'good', 'inexpensive', 'sushi']"
positive,1338124,1338124:0,"
     This is some really good, inexpensive sushi.
    ",FOOD#PRICES,sushi,"('38', '43')","['This', 'really', 'good', 'inexpensive', 'sushi']"
positive,1338124,1338124:2,"
     The spicy Tuna roll is huge and probably the best that I've had at this price range.
    ",FOOD#STYLE_OPTIONS,spicy Tuna roll,"('4', '19')","['The', 'spicy', 'Tuna', 'roll', 'huge', 'probably', 'best', 'price', 'range']"
positive,1338124,1338124:2,"
     The spicy Tuna roll is huge and probably the best that I've had at this price range.
    ",FOOD#QUALITY,spicy Tuna roll,"('4', '19')","['The', 'spicy', 'Tuna', 'roll', 'huge', 'probably', 'best', 'price', 'range']"
positive,1338124,1338124:2,"
     The spicy Tuna roll is huge and probably the best that I've had at this price range.
    ",FOOD#PRICES,spicy Tuna roll,"('4', '19')","['The', 'spicy', 'Tuna', 'roll', 'huge', 'probably', 'best', 'price', 'range']"
positive,1338124,1338124:3,"
     The Yellowtail was particularly good as well.
    ",FOOD#QUALITY,Yellowtail,"('4', '14')","['The', 'Yellowtail', 'particularly', 'good', 'well']"
negative,1338124,1338124:4,"
     I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
    ",FOOD#STYLE_OPTIONS,all you can eat deal,"('30', '50')","['I', 'reservations', 'eat', 'deal', 'however', 'choices', 'fairly', 'limited', 'probably', 'order', 'food', 'eat', 'less', '18', 'going', 'menu']"
negative,1338124,1338124:4,"
     I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
    ",FOOD#PRICES,all you can eat deal,"('30', '50')","['I', 'reservations', 'eat', 'deal', 'however', 'choices', 'fairly', 'limited', 'probably', 'order', 'food', 'eat', 'less', '18', 'going', 'menu']"
positive,1338124,1338124:5,"
     In any event, this is a place I'll be sure to stop by again when I'm in this part of town.
    ",RESTAURANT#GENERAL,place,"('24', '29')","['In', 'event', 'place', 'sure', 'stop', 'part', 'town']"
positive,1340075,1340075:0,"
     Big Wong gets big Ups for a fine establishment.
    ",RESTAURANT#GENERAL,Big Wong,"('0', '8')","['Big', 'Wong', 'gets', 'big', 'Ups', 'fine', 'establishment']"
positive,1340075,1340075:1,"
     They have it all -- great price, food, and service.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['They', 'great', 'price', 'food', 'service']"
positive,1340075,1340075:1,"
     They have it all -- great price, food, and service.
    ",RESTAURANT#PRICES,NULL,"('0', '0')","['They', 'great', 'price', 'food', 'service']"
positive,1340075,1340075:1,"
     They have it all -- great price, food, and service.
    ",FOOD#QUALITY,food,"('33', '37')","['They', 'great', 'price', 'food', 'service']"
positive,1340075,1340075:1,"
     They have it all -- great price, food, and service.
    ",SERVICE#GENERAL,service,"('43', '50')","['They', 'great', 'price', 'food', 'service']"
negative,1340075,1340075:2,"
     The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
    ",AMBIENCE#GENERAL,atmosphere,"('4', '14')","['The', 'atmosphere', 'noisy', 'waiters', 'literally', 'walking', 'around', 'things', 'fast']"
positive,1340075,1340075:2,"
     The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
    ",SERVICE#GENERAL,waiters,"('32', '39')","['The', 'atmosphere', 'noisy', 'waiters', 'literally', 'walking', 'around', 'things', 'fast']"
positive,1340075,1340075:3,"
     The food is prepared quickly and efficiently.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['The', 'food', 'prepared', 'quickly', 'efficiently']"
positive,1340075,1340075:4,"
     And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
    ",FOOD#PRICES,NULL,"('0', '0')","['And', 'comes', 'reasonable', 'price', 'congee', 'noodles', 'rice', 'dishes']"
positive,1340075,1340075:4,"
     And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
    ",FOOD#PRICES,congee,"('45', '51')","['And', 'comes', 'reasonable', 'price', 'congee', 'noodles', 'rice', 'dishes']"
positive,1340075,1340075:4,"
     And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
    ",FOOD#PRICES,noodles,"('53', '60')","['And', 'comes', 'reasonable', 'price', 'congee', 'noodles', 'rice', 'dishes']"
positive,1340075,1340075:4,"
     And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
    ",FOOD#PRICES,rice dishes,"('66', '77')","['And', 'comes', 'reasonable', 'price', 'congee', 'noodles', 'rice', 'dishes']"
positive,1340075,1340075:5,"
     The takeout is great too since they give high quality tupperware as well.
    ",SERVICE#GENERAL,takeout,"('4', '11')","['The', 'takeout', 'great', 'since', 'give', 'high', 'quality', 'tupperware', 'well']"
positive,1340075,1340075:6,"
     This place is always very crowded and popular.
    ",RESTAURANT#MISCELLANEOUS,place,"('5', '10')","['This', 'place', 'always', 'crowded', 'popular']"
positive,1341354,1341354:1,"
     Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.
    ",FOOD#QUALITY,Caesar Salad,"('20', '32')","['Enjoyed', 'nice', 'Caesar', 'Salad', 'wife', 'arugula', 'goat', 'cheese', 'tasty']"
positive,1341354,1341354:1,"
     Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.
    ",FOOD#QUALITY,arugula and goat cheese,"('51', '74')","['Enjoyed', 'nice', 'Caesar', 'Salad', 'wife', 'arugula', 'goat', 'cheese', 'tasty']"
positive,1341354,1341354:2,"
     We both opted for a pasta dish and they were served timely and fresh.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['We', 'opted', 'pasta', 'dish', 'served', 'timely', 'fresh']"
positive,1341354,1341354:2,"
     We both opted for a pasta dish and they were served timely and fresh.
    ",FOOD#QUALITY,pasta dish,"('20', '30')","['We', 'opted', 'pasta', 'dish', 'served', 'timely', 'fresh']"
positive,1341354,1341354:3,"
     We concluded with tiramisu chocolate cake, both were delicious.
    ",FOOD#QUALITY,tiramisu,"('18', '26')","['We', 'concluded', 'tiramisu', 'chocolate', 'cake', 'delicious']"
positive,1341354,1341354:3,"
     We concluded with tiramisu chocolate cake, both were delicious.
    ",FOOD#QUALITY,chocolate cake,"('27', '41')","['We', 'concluded', 'tiramisu', 'chocolate', 'cake', 'delicious']"
positive,1341354,1341354:4,"
     We'd go back again
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['go', 'back']"
positive,1347423,1347423:0,"
     I recently went to this restaurant with some co-workers for lunch and had an amazing time.
    ",RESTAURANT#GENERAL,restaurant,"('24', '34')","['I', 'recently', 'went', 'restaurant', 'lunch', 'amazing', 'time']"
positive,1347423,1347423:1,"
     The staff was accomodating, the food was absolutely delicious and the place is lovely.
    ",SERVICE#GENERAL,staff,"('4', '9')","['The', 'staff', 'accomodating', 'food', 'absolutely', 'delicious', 'place', 'lovely']"
positive,1347423,1347423:1,"
     The staff was accomodating, the food was absolutely delicious and the place is lovely.
    ",FOOD#QUALITY,food,"('32', '36')","['The', 'staff', 'accomodating', 'food', 'absolutely', 'delicious', 'place', 'lovely']"
positive,1347423,1347423:1,"
     The staff was accomodating, the food was absolutely delicious and the place is lovely.
    ",AMBIENCE#GENERAL,place,"('70', '75')","['The', 'staff', 'accomodating', 'food', 'absolutely', 'delicious', 'place', 'lovely']"
positive,1347423,1347423:2,"
     We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.
    ",SERVICE#GENERAL,Manager,"('29', '36')","['We', 'even', 'visit', 'Manager', 'wanted', 'make', 'sure', 'enjoying']"
negative,1347423,1347423:3,"
     Yes, the prices are high, but I felt it was worth it.
    ",RESTAURANT#PRICES,NULL,"('0', '0')","['Yes', 'prices', 'high', 'I', 'felt', 'worth']"
positive,1347423,1347423:3,"
     Yes, the prices are high, but I felt it was worth it.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['Yes', 'prices', 'high', 'I', 'felt', 'worth']"
positive,1347423,1347423:4,"
     We all felt it was worth it.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['We', 'felt', 'worth']"
